exporter,importer,pair_id,year,trade,dist,cntg,lang,clny,log_trade,log_dist,y,log_y,e,log_e,total_e,remoteness_exp,log_remoteness_exp,total_y,remoteness_imp,log_remoteness_imp,exp_year,imp_year
BOL,LKA,439,1986,0,16182.783130867,0,0,0,-Inf,9.691703186380746,944.5599905246771,6.8507192005673865,2795.816403403326,7.935879437178886,8435941.468852492,1485261588.678036,21.118856747679725,8435941.46885249,1137333670.6523566,20.85195247449534,BOL1986,LKA1986
JPN,TTO,1912,2002,132.448429832399,14526.7287741631,0,0,0,4.886193360852785,9.58374559523415,2131624.8565399745,14.572395090314433,6493.477228533674,8.778553448734675,16796347.543891504,1426831955.7961667,21.07872240802759,16796347.543891504,1635796327.4365008,21.21539557314495,JPN2002,TTO2002
GBR,BGR,165,2002,190.388360176086,2237.41491790028,0,0,0,5.249065986959574,7.713076423906594,637810.5873974628,13.365796633290909,10937.651335067505,9.299966366919177,16796347.543891504,800056779.3254063,20.500193257270414,16796347.543891504,963229146.9511281,20.68580189259995,GBR2002,BGR2002
JOR,IND,1136,1990,96.6384811662436,4236.64976775265,0,0,0,4.570977017654098,8.351528086778714,4098.104032084966,8.31827971453933,153304.8930289724,11.940183982347747,12246859.677430546,761017114.561236,20.450166405141058,12246859.677430546,1203968910.4348505,20.908889361601684,JOR1990,IND1990
SGP,AUS,356,1994,1799.81350574112,5893.49705205078,0,1,0,7.495438330594984,8.681604827463017,97268.73451721384,11.48523288577797,142061.07233178892,11.864012330966146,14265756.416838426,1607059686.4117136,21.197672064525257,14265756.416838426,3124554474.9562125,21.862557541956978,SGP1994,AUS1994
URY,KWT,2033,1994,0.166360000610352,13009.6215024845,0,0,0,-1.7936011604385635,9.473444478268934,7684.267120159486,8.946930286449174,10575.10671712423,9.266258095317388,14265756.416838426,1679457461.4228754,21.241736638576107,14265756.416838426,1242933874.1080372,20.940740449434013,URY1994,KWT1994
CHE,TUN,959,1986,28.4244743370116,1254.63066513786,0,1,0,3.34725054648448,7.134596517527066,134237.57053529992,11.807366423617864,8388.936519295416,9.034669035681583,8435941.468852492,859626105.5599867,20.572008091699114,8435941.46885249,887227809.9690053,20.603612339281263,CHE1986,TUN1986
AUS,CAN,19,1990,380.386470187902,15391.0735741463,0,1,0,5.941187762709318,9.641542982304198,128876.86963476626,11.766612728564303,300819.4481279173,12.614265523648374,12246859.677430546,1781560149.4037738,21.30075530578781,12246859.677430546,1783907963.8793006,21.302072280019676,AUS1990,CAN1990
BEL,URY,715,2002,10.7908514259749,11166.7437295387,0,0,0,2.37869868495903,9.320695330273955,308984.4402566853,12.64104619945566,5351.161960216173,8.585069005133427,16796347.543891504,773416117.11309,20.466327776218357,16796347.543891504,1799628389.412735,21.31084603020847,BEL2002,URY2002
QAT,MAR,1945,1990,0.333316985839844,5648.26189903116,0,1,0,-1.0986613323511996,8.639103148323077,1966.6162194351784,7.5840696897620505,17005.92813658102,9.741317276168317,12246859.677430546,809117286.6657692,20.511454441851736,12246859.677430546,1052359445.4472613,20.77430057108504,QAT1990,MAR1990
