exporter,importer,pair_id,year,trade,dist,cntg,lang,clny,log_dist,intl,y,e,e_r,fe_exporter_bln,fe_importer_bln,tij_bln,omr_bln,imr_bln,tradehat_bln,xi_bln,tij_cfl,log_tij_cfl,fe_exporter_cfl,fe_importer_cfl,omr_cfl,imr_cfl,tradehat_cfl,xi_cfl,change_tij,phi,change_p_i,change_p_j,trade_cfl,omr_cfl_0,imr_cfl_0,change_imr_full_0,change_omr_full_0,change_p_i_0,change_p_j_0,fe_exporter_cfl_0,fe_importer_cfl_0,tradehat_0,e_r_cfl_0,trade_1,tradehat_1,y_cfl_1,e_cfl_1,e_r_cfl_1,change_p_i_1,change_p_j_1,omr_cfl_1,imr_cfl_1,change_omr_full_1,change_imr_full_1,fe_exp_cfl_0,fe_imp_cfl_0,change_p_i_full,change_p_j_full,y_full,e_full,e_full_r,omr_full,imr_full,x_full,xi_full,change_price_full,change_omr_cfl,change_omr_full,change_xi_cfl,change_xi_full,change_imr_full,rgdp,log_y
FIN,FIN,12364,2006,85498.9803168541,199.893932873845,0,0,0,5.297786890239581,0,142758.83858434908,133358.37183885448,1771970.008304786,16.83302710206116,-1.5289463777753947,0.015114893233438148,12375.666254513664,0.3471977424735731,66970.40001230873,75788.4385720399,0.015114893233438148,-4.192074714392061,15.19963120286939,-2.031199709207632,63378.71280856421,0.5737236372121871,7913.748001076907,134845.0905832727,1,0.9341514204044162,1.3128924100254213,1.3128924100254213,13640.820437976083,63360.140642908365,0.5736844150405497,1.0000070410842328,1.000071296669826,1.0000256211203757,1.0000256211203757,15.19963120286939,-2.031199709207632,7912.46145318331,1771738.393484195,7912.461453183291,7912.46145318331,142721.4386181001,133323.43460725993,1771738.393484195,1.0000256211203757,1.0000256211203757,63360.140642908365,0.5736844150405497,1.000071296669826,1.0000070410842328,15.19953154731216,-2.0312626381151335,1.3128638070297731,1.3128638070297731,187422.9123109974,175081.3797516506,2200336.720779877,83196.74208557403,0.6065821682753348,9828.149793336417,167465.24516172052,31.28638070297731,-23.832296358493142,-27.20910742575695,77.92303565549395,120.96410523425445,8.879825609388437,44.08047568059112,11.868912042129347
FRA,FRA,12366,2006,685143.916327787,408.960308735013,0,0,0,6.013618106675994,0,1081810.3787916163,1105285.1056795758,1771970.008304786,18.149148278811012,-0.03419859318920571,0.008578439132324337,25149.685694989872,0.6454613041193442,631874.6938716911,449935.6849199288,0.008578439132324337,-4.758503301341109,16.693374408277673,-0.44477645112903835,107836.83198986377,0.9731547554047328,97742.78416192903,984067.594629686,1,1.021699483891235,1.2745956338959805,1.2745956338959805,158792.34361983842,107811.67061719057,0.9731463432245386,1.0000010187648178,1.0000652739634026,1.000017583624548,1.000017583624548,16.693374408277673,-0.44477645112903835,97736.32000024125,1771738.393484195,97736.32000024106,97736.32000024125,1081643.7191129953,1105114.8295719433,1771738.393484195,1.000017583624548,1.000017583624548,107811.67061719057,0.9731463432245386,1.0000652739634026,1.0000010187648178,16.693322976653658,-0.44479115610532893,1.274567865243278,1.274567865243278,1378840.7450944523,1408760.8776312077,2200336.720779877,137427.3952126622,0.9988771862235462,121387.58067990826,1222121.7715642056,27.456786524327793,-21.543745058708563,-24.651165129122642,118.71294667477024,171.6214366908231,7.019255454665219,37.078689945511734,13.894146472375676
GBR,GBR,12367,2006,595160.981996844,217.443900110519,0,0,0,5.38194088673259,0,925638.166450444,1025627.1834185439,1771970.008304786,17.80400905949736,-0.09694521127471514,0.014141171747545403,30388.882505860103,0.6377286473761669,692732.4259367373,232905.74051370836,0.014141171747545403,-4.25866475436957,16.738983888557843,-0.30441785693749734,88155.47398318419,0.7847659503785807,194055.84884318814,731582.317607257,1,1.108021709337601,1.1942330678866708,1.1942330678866708,276761.0195722126,88131.97778661684,0.7847331041168651,1.000004987555337,1.0000692430089642,1.0000313301881258,1.0000313301881258,16.738983888557843,-0.30441785693749734,194011.00940058575,1771738.393484195,194011.00940058648,194011.00940058575,925388.5027884003,1025350.5506609667,1771738.393484195,1.0000313301881258,1.0000313301881258,88131.97778661684,0.7847331041168651,1.0000692430089642,1.000004987555337,16.7388499795695,-0.3045150392771021,1.1942070500325168,1.1942070500325168,1105403.6241542925,1224811.2131434183,2200336.720779877,105262.12788140381,0.7547219873553019,240999.58078578764,908558.1955126573,19.420705003251683,-16.2642513517389,-18.703141427053215,214.11089996907896,290.0969523158582,2.7682384436499174,22.820674121019735,13.73823868829244
GRC,GRC,12368,2006,76496.6047623129,133.403075217521,0,0,0,4.893375185820921,0,90177.22292763334,122246.47770059248,1771970.008304786,16.150013394220924,-1.445561027677333,0.020815265938075745,15477.168967435244,0.2928054562503654,50634.26218411362,39542.9607435197,0.020815265938075745,-3.87206862214606,14.716507013550942,-2.101817081747146,64901.60468244433,0.5644007059178382,6264.29486586708,83912.92806176562,1,1.3556247767653538,1.2698740598891443,1.2698740598891443,10101.677416500246,64883.52323273423,0.5643702711142533,1.000005347386831,1.0000696028635576,1.0000240359825827,1.0000240359825827,14.716507013550942,-2.101817081747146,6263.395607669944,1771738.393484195,6263.3956076699415,6263.395607669944,90155.75764310079,122217.37882903985,1771738.393484195,1.0000240359825827,1.0000240359825827,64883.52323273423,0.5643702711142533,1.0000696028635576,1.000005347386831,14.716416868584336,-2.1018705000655027,1.2698463941018097,1.2698463941018097,114511.22136477023,155234.24889974465,2200336.720779877,82404.29617492232,0.577172936072318,7779.680156986534,104212.16678573382,26.984639410180968,-21.25203344280482,-24.324213214586653,112.20699331553531,163.54163883090646,10.69436398331096,42.191069986277974,11.409532156730817
HUN,HUN,12371,2006,51672.989311079,128.720306751025,0,0,0,4.857641885768803,0,105145.94254568369,106297.94446834082,1771970.008304786,16.373399916532364,-1.8206462455433876,0.021412224240693497,14433.499835815184,0.3704802981429945,44755.08628068109,60390.85626500191,0.021412224240693497,-3.843793293841283,14.706805582277726,-2.4332959204353295,76412.49397428695,0.6836526327801217,4581.200533606992,100564.74201207802,1,1.010956218516531,1.320176873075265,1.320176873075265,7984.423121386201,76392.77292420814,0.6836297930836422,1.0000031880710967,1.0000674434090442,1.0000165701194144,1.0000165701194144,14.706805582277726,-2.4332959204353295,4580.953271148539,1771738.393484195,4580.9532711485235,4580.953271148539,105127.77995998612,106279.58288938552,1771738.393484195,1.0000165701194144,1.0000165701194144,76392.77292420814,0.6836297930836422,1.0000674434090442,1.0000031880710967,14.706760231580668,-2.4333045444834647,1.3201481113785203,1.3201481113785203,138808.21747079873,140329.03063329897,2200336.720779877,100862.62409346229,0.7268174901689154,5689.431236814113,124892.19372267555,32.01481113785203,-24.252574000136374,-27.677477576995592,66.52312656536704,106.8064628437035,10.623510763147104,47.706418393773674,11.563104593088987
IDN,IDN,12372,2006,166767.739098514,716.372293546248,0,0,0,6.574199994880117,0,228454.46935088956,221552.6905611559,1771970.008304786,17.7098642430139,-0.7554282495993127,0.005505074521336854,8240.616616947793,0.2661331545981839,127051.90993092803,101402.55941996092,0.005505074521336854,-5.202084971871534,16.108010704859996,-1.1406155123217223,40891.76554780452,0.3911863431688909,17418.88463764204,211035.58471324728,1,0.9697892590618001,1.3060085658706209,1.3060085658706209,29710.666450153894,40877.747631040846,0.3911401260595315,1.0000120554467729,1.0000763113544866,1.0000357164626104,1.0000357164626104,16.108010704859996,-1.1406155123217223,17413.94316809373,1771738.393484195,17413.943168093847,17413.94316809373,228369.41536867022,221470.20612275918,1771738.393484195,1.0000357164626104,1.0000357164626104,40877.747631040846,0.3911401260595315,1.0000763113544866,1.0000120554467729,16.107850479106972,-1.1407390114278462,1.3059801128480877,1.3059801128480877,298356.99366352474,289343.40782085585,2200336.720779877,53396.85215101225,0.41142195971672835,21632.658435458914,262086.85669595317,30.59801128480877,-23.430823799124724,-26.761291763741358,108.11662537948257,158.46177669985107,7.0030756462983295,40.43261343579092,12.33909221060346
IND,IND,12373,2006,464780.273748617,868.567365413904,0,0,0,6.766845147916545,0,548516.9475714829,555039.9922068275,1771970.008304786,18.249813423597953,-0.13100578897081627,0.00472672477768242,11530.63306119917,0.3570779236346139,349509.10167181597,199007.8458996652,0.00472672477768242,-5.3545227523307775,16.77398744141414,-0.43421975275420704,50442.45696342775,0.4835564182347129,58997.18066040049,489519.76691107923,1,1.0118921478437903,1.278862482194469,1.278862482194469,96489.25465390882,50425.509603277984,0.48350259200340306,1.000011418528302,1.0000756743951735,1.0000364546427818,1.0000364546427818,16.77398744141414,-0.43421975275420704,58979.92163101112,1771738.393484195,58979.92163101163,58979.92163101112,548314.0522909756,554834.6840656477,1771738.393484195,1.0000364546427818,1.0000364546427818,50425.509603277984,0.48350259200340306,1.0000756743951735,1.000011418528302,16.773822786739906,-0.43434768077911307,1.2788346205831642,1.2788346205831642,701462.4625310127,709804.3578423007,2200336.720779877,64499.12850629927,0.4979993286496899,73269.09181794022,607938.6904089587,27.88346205831642,-21.80550966793191,-24.94437987529978,145.98013445051956,205.484785115189,5.3931954595337945,35.17364071166445,13.214973456253785
IRL,IRL,12374,2006,56095.7690196167,102.928675001681,0,0,0,4.634036272645751,0,172373.87003338855,123310.19976728718,1771970.008304786,16.837792617636257,-1.9753000978945816,0.02555667163597115,14871.931550637193,0.501654332138473,72811.97002614653,99561.90000724088,0.02555667163597115,-3.6668568756368716,15.103981152233072,-2.3742135608121284,84207.76292401289,0.7475676209859304,8629.231374858506,163744.63865852918,1,0.7153648040935797,1.335049777357491,1.335049777357491,15380.378781133084,84184.202540473,0.7475264186283318,1.0000065315469389,1.000070787099709,1.0000290792025408,1.0000290792025408,15.103981152233072,-2.3742135608121284,8627.4704982587,1771738.393484195,8627.4704982587191,8627.4704982587,172327.4193851695,123276.97060842393,1771738.393484195,1.0000290792025408,1.0000290792025408,84184.202540473,0.7475264186283318,1.000070787099709,1.0000065315469389,15.103860748750309,-2.37429723764771,1.3350206916360103,1.3350206916360103,230122.68319195014,164621.66817909834,2200336.720779877,112404.41155921893,0.8037217106801093,10716.714575941367,203355.8354868987,33.502069163601035,-25.096425844185845,-28.616582363203424,64.46516051483596,104.25065760306818,7.5550600849018545,44.412521968438654,12.057421059792832
IRN,IRN,12375,2006,73083.992815123,494.146341156888,0,0,0,6.202831710478051,0,77967.26786533269,98339.4926617754,1771970.008304786,16.600157254416803,-1.2584402563711914,0.00738558066563925,8531.236637759104,0.19534632962576354,33978.77213585682,43988.49572947564,0.00738558066563925,-4.908225738379668,14.890208486880022,-2.0302857307788518,47166.462210722755,0.42268173952229876,2840.3910567691646,75126.87680856403,1,1.2612920184869143,1.3297506736725844,1.3297506736725844,5022.48414672814,47151.494771997954,0.4226425708060977,1.000009612293252,1.0000738680439736,1.0000310467293179,1.0000310467293179,14.890208486880022,-2.0302857307788518,2839.744401953142,1771738.393484195,2839.744401953116,2839.744401953142,77942.4102510941,98308.13995133764,1771738.393484195,1.0000310467293179,1.0000310467293179,47151.494771997954,0.4226425708060977,1.0000738680439736,1.000009612293252,14.890076278591485,-2.0303812124190195,1.3297217033986746,1.3297217033986746,103674.76823523092,130764.15769357744,2200336.720779877,62710.07054728602,0.45262804928282374,3527.5053961513113,93300.69629202521,32.97217033986746,-24.79793243960985,-28.28459590832858,70.78755607053712,112.10249349242156,13.06847492944373,52.96196659605727,11.264044374844923
ISL,ISL,12377,2006,7414.5700145023,76.5960660415292,0,0,0,4.338545718267528,0,9166.811241553674,12162.553127050156,1771970.008304786,14.560112903158936,-3.235262780718803,0.03228867360841664,7714.325610252532,0.1744315968425085,2675.2854125319536,6491.525829021626,0.03228867360841664,-3.4330387725280422,12.640696950793986,-4.210640571785432,52588.37152110128,0.46262207158410307,147.97119204610087,9018.840049507628,1,1.3268030514162454,1.376993719491124,1.376993719491124,280.56990902212146,52570.08411053105,0.4625651283383737,1.000013738598602,1.0000779946145177,1.0000419358166768,1.0000419358166768,12.640696950793986,-4.210640571785432,147.91817544667805,1771738.393484195,147.91817544667757,147.91817544667805,9163.011210113295,12157.511233739582,1771738.393484195,1.0000419358166768,1.0000419358166768,52570.08411053105,0.4625651283383737,1.0000779946145177,1.000013738598602,12.640499410365347,-4.210801385564917,1.3769637199686453,1.3769637199686453,12622.366507420144,16747.394398139262,2200336.720779877,72402.81464234277,0.5129984666005251,183.76666028912305,11200.57284571616,37.69637199686453,-27.378027521464965,-31.146859689477992,38.93251428172946,72.54145081949494,16.455438938862898,64.81787712799118,9.123344766668035
ISR,ISR,12378,2006,75171.0803244929,52.985778545028,0,0,0,3.970023548206269,0,113628.2049255938,109667.08446694363,1771970.008304786,16.309813787868674,-1.9634423504478606,0.04322087707234745,16621.889230267676,0.4408918889251314,73492.58549674577,40135.619428847465,0.04322087707234745,-3.1414316349036686,15.024132750451605,-2.1502885394087343,60123.54283153685,0.5314695388762688,16855.167682313488,96773.03724327964,1,0.9651396371064386,1.2389697319167072,1.2389697319167072,25873.45767285406,60106.291599700664,0.5314364507398455,1.0000060668196162,1.0000703223425045,1.0000266200193937,1.0000266200193937,15.024132750451605,-2.1502885394087343,16852.225516626462,1771738.393484195,16852.22551662657,16852.225516626462,113598.44950424123,109638.36633037747,1771738.393484195,1.0000266200193937,1.0000266200193937,60106.291599700664,0.5314364507398455,1.0000703223425045,1.0000060668196162,15.024027101656813,-2.150357461556118,1.2389427394186323,1.2389427394186323,140778.8394857369,135871.2380535297,2200336.720779877,74479.8902940337,0.530269726012086,20932.57363654204,120183.24387555041,23.894273941863233,-19.287778043376168,-22.117438640952503,141.11509581866338,199.44285297156458,3.029594284798387,27.76503617581636,11.640687037247835
ITA,ITA,12379,2006,799728.016481839,407.518888688207,0,0,0,6.010087284215765,0,1126884.096431932,1094964.0092274097,1771970.008304786,18.27443784623683,-0.009920478229659344,0.008602439921000071,23112.562586572752,0.6240967003988029,735869.4202192081,391014.67621271353,0.008602439921000071,-4.755709404217047,16.99925261717807,-0.18081341218894434,82728.28258243651,0.7404056849691045,173291.3915481644,953592.7048837518,1,0.971674028140435,1.2368042949918279,1.2368042949918279,265081.2187318269,82707.54141235529,0.740386408998182,1.0000026632914323,1.000066918595658,1.000020894905632,1.000020894905632,16.99925261717807,-0.18081341218894434,173273.04595040513,1771738.393484195,173273.04595040402,173273.04595040513,1126668.5149995326,1094754.534348598,1771738.393484195,1.000020894905632,1.000020894905632,82707.54141235529,0.740386408998182,1.000066918595658,1.0000026632914323,16.999181318249782,-0.1808479844683838,1.236777349670492,1.236777349670492,1393704.726170912,1354226.6853168518,2200336.720779877,102303.09225397035,0.737443051619098,215212.02770157764,1184274.751249976,23.67773496704919,-19.146464477097602,-21.958329585263712,143.87644835228474,202.87219976513765,2.7430677924031643,27.165984120346963,13.934966945170638
